<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2/18/2021,NIKL,1430,1455,1395,1430,2254600
2/18/2021,NIPS,282,282,282,282,0
2/18/2021,NIRO,147,147,137,142,110140800
2/18/2021,NISP,845,860,830,850,663300
2/18/2021,NOBU,760,800,750,750,56900
2/18/2021,NRCA,360,360,348,348,460800
2/18/2021,NUSA,50,50,50,50,0
2/18/2021,NZIA,175,175,158,158,22800
2/18/2021,OASA,352,352,352,352,0
2/18/2021,OCAP,159,159,159,159,0
2/18/2021,OKAS,106,115,101,101,15691200
2/18/2021,OMRE,334,334,334,334,0
2/18/2021,OPMS,410,426,408,410,10365300
2/18/2021,PADI,50,50,50,50,400
2/18/2021,PALM,328,334,328,330,560200
2/18/2021,PAMG,89,92,89,92,1511400
2/18/2021,PANI,125,125,112,112,64600
2/18/2021,PANR,135,140,129,133,1482900
2/18/2021,PANS,1290,1305,1290,1290,298200
2/18/2021,PBID,1540,1575,1540,1575,152000
2/18/2021,PBRX,191,194,188,189,7693400
2/18/2021,PBSA,492,492,492,492,0
2/18/2021,PCAR,372,372,352,370,106300
2/18/2021,PDES,344,400,344,380,5700
2/18/2021,PEGE,128,128,118,121,8100
2/18/2021,PEHA,1435,1435,1400,1430,353400
2/18/2021,PGAS,1475,1485,1445,1450,54961000
2/18/2021,PGJO,59,59,54,56,184500
2/18/2021,PGLI,216,236,216,236,200
2/18/2021,PGUN,278,288,276,276,6300
2/18/2021,PICO,149,152,147,147,658400
2/18/2021,PJAA,555,560,545,560,79000
2/18/2021,PKPK,50,51,50,51,1154000
2/18/2021,PLAN,134,134,134,134,1170500
2/18/2021,PLAN-W,5,6,4,5,22817800
2/18/2021,PLAS,50,50,50,50,0
2/18/2021,PLIN,2450,2450,2450,2450,0
2/18/2021,PMJS,132,140,129,129,1150600
2/18/2021,PMMP,286,286,270,270,4969400
2/18/2021,PNBN,1120,1140,1110,1125,3241400
2/18/2021,PNBS,84,86,79,79,91836600
2/18/2021,PNGO,1100,1100,1050,1050,45600
2/18/2021,PNIN,830,840,825,835,481700
2/18/2021,PNLF,236,238,230,230,11555100
2/18/2021,PNSE,482,482,482,482,0
2/18/2021,POLA,145,149,144,144,1179200
2/18/2021,POLA-W,120,120,44,73,260300
2/18/2021,POLI,835,835,815,815,1000
2/18/2021,POLL,3920,3920,3680,3790,1143600
2/18/2021,POLU,605,605,605,605,200
2/18/2021,POLY,59,59,57,58,292900
2/18/2021,POOL,50,50,50,50,0
2/18/2021,PORT,500,500,500,500,0
2/18/2021,POSA,50,50,50,50,0
2/18/2021,POSA-W,2,2,2,2,0
2/18/2021,POWR,720,725,710,715,5776300
2/18/2021,PPGL,111,113,110,110,2561700
2/18/2021,PPGL-W,7,8,6,7,5086300
2/18/2021,PPRE,224,228,222,222,3027700
2/18/2021,PPRO,81,82,79,80,84215900
2/18/2021,PRAS,156,157,156,156,500
2/18/2021,PRDA,3350,3490,3350,3400,419600
2/18/2021,PRIM,208,222,200,206,1288000
2/18/2021,PRIM-W,4,6,3,5,1460700
2/18/2021,PSAB,208,218,206,212,21386200
2/18/2021,PSDN,112,115,105,114,1255900
2/18/2021,PSGO,108,115,103,115,387800
2/18/2021,PSKT,50,50,50,50,400
2/18/2021,PSSI,180,181,176,176,3194900
2/18/2021,PTBA,2530,2600,2530,2560,22065500
2/18/2021,PTDU,2060,2060,2060,2060,0
2/18/2021,PTIS,191,191,173,174,20100
2/18/2021,PTPP,1720,1735,1650,1665,64209900
2/18/2021,PTPW,1690,1740,1655,1655,4971200
2/18/2021,PTRO,1820,1840,1800,1800,263100
2/18/2021,PTSN,210,214,208,208,1147500
2/18/2021,PTSP,3510,3510,3510,3510,1600
2/18/2021,PUDP,274,324,274,324,153700
2/18/2021,PURA,114,114,107,108,663969700
2/18/2021,PURA-W,19,19,15,16,8377000
2/18/2021,PURE,171,174,168,168,8536600
2/18/2021,PURE-W,10,10,9,10,1291600
2/18/2021,PURI,382,420,356,356,429800
2/18/2021,PWON,545,560,540,545,98896100
2/18/2021,PYFA,1010,1065,1010,1020,826400
2/18/2021,PZZA,790,795,770,780,154900
2/18/2021,R-ABFII,28600,28600,28600,28600,0
2/18/2021,R-LQ45X,994,1001,994,994,15600
2/18/2021,RAJA,234,234,210,222,28006900
2/18/2021,RALS,720,730,710,715,23430900
2/18/2021,RANC,464,470,452,462,309300
2/18/2021,RBMS,50,50,50,50,100
2/18/2021,RDTX,5500,5500,5500,5500,0
2/18/2021,REAL,50,50,50,50,19100
2/18/2021,RELI,298,298,278,278,1900
2/18/2021,RICY,88,88,83,87,13600
2/18/2021,RIGS,248,254,246,246,180200
2/18/2021,RIMO,50,50,50,50,0
2/18/2021,RISE,428,430,428,430,172700
2/18/2021,RMBA,294,314,294,296,113100
2/18/2021,ROCK,735,785,735,770,13600
2/18/2021,RODA,53,53,52,53,161700
2/18/2021,RONY,161,167,161,167,1300
2/18/2021,ROTI,1400,1450,1400,1400,291100
2/18/2021,RUIS,250,268,248,250,155500
2/18/2021,SAFE,183,183,171,172,293100
2/18/2021,SAME,402,418,398,412,30150500
2/18/2021,SAMF,396,398,396,398,10200
2/18/2021,SAPX,1185,1230,1160,1160,22000
2/18/2021,SATU,50,51,50,50,368100
2/18/2021,SBAT,64,64,60,60,25220700
2/18/2021,SBAT-W,9,10,9,10,4584700
2/18/2021,SCCO,10450,10450,10450,10450,600
2/18/2021,SCMA,2020,2030,1935,1940,8734200
2/18/2021,SCNP,262,262,262,262,200
2/18/2021,SCPI,29000,29000,29000,29000,0
2/18/2021,SDMU,50,50,50,50,48600
2/18/2021,SDPC,120,124,119,123,446500
2/18/2021,SDRA,720,720,670,690,35700
2/18/2021,SFAN,1285,1290,1285,1290,427800
2/18/2021,SGER,565,575,550,555,1737200
2/18/2021,SGER-W,398,400,398,400,17400
2/18/2021,SGRO,1750,1750,1720,1750,506600
2/18/2021,SHID,2460,2460,2460,2460,200
2/18/2021,SHIP,685,695,675,680,1055800
2/18/2021,SIDO,780,810,775,805,67794900
2/18/2021,SILO,5200,5575,5200,5300,931700
2/18/2021,SIMA,50,50,50,50,0
2/18/2021,SIMP,436,440,432,436,5910500
2/18/2021,SINI,370,370,368,368,200
2/18/2021,SINI-W,310,310,310,310,0
2/18/2021,SIPD,1255,1255,1255,1255,0
2/18/2021,SKBM,360,360,330,330,6200
2/18/2021,SKLT,1515,1845,1515,1800,20400
2/18/2021,SKRN,690,715,690,700,3811200
2/18/2021,SKYB,51,51,51,51,0
2/18/2021,SLIS,4650,4700,4650,4700,7500
2/18/2021,SMAR,3700,3720,3700,3700,26900
2/18/2021,SMBR,960,995,955,975,22315500
2/18/2021,SMCB,1715,1720,1710,1715,57100
2/18/2021,SMDM,100,104,95,104,2300
2/18/2021,SMDR,288,294,284,284,945100
2/18/2021,SMGR,11100,11100,10700,10700,2906200
2/18/2021,SMKL,204,210,202,206,622100
